season,variable,model,region,init_date,scale,lead,week,crps,crps_clim,crps_pers,crpss_clim,crpss_pers,spread,rmse,ssr
JFM2026,TP,ECMWF,All India,2026-01-01,daily,1,Week 1,0.4720292908105676,0.6266074970471999,0.21448231975235885,0.24669064281078734,-1.2007841548691394,0.33712542562932696,1.2529030176988,0.2690754359012746
JFM2026,TP,ECMWF,All India,2026-01-08,daily,1,Week 1,0.18275111162491423,0.7483999167076134,0.29619057795186654,0.755810887274174,0.3829948511913407,0.09053042089617204,1.313934351827444,0.06890026185118052
JFM2026,TP,ECMWF,All India,2026-01-15,daily,1,Week 1,0.36991843350632986,0.7728775397127993,0.6254070756562108,0.5213751021361143,0.40851575253095507,0.06247943779746536,1.5497591116614569,0.040315580226195774
JFM2026,TP,ECMWF,All India,2026-01-22,daily,1,Week 1,3.019876360329283,3.8167478153487977,4.070928804946626,0.20878284172062644,0.2581849241235069,0.47128246043589506,9.401169779077213,0.05013019353025178
JFM2026,TP,ECMWF,All India,2026-01-29,daily,1,Week 1,0.21957072974341058,0.6684234747140648,1.4593635965496619,0.67150954739084,0.8495435063184141,0.11860186373925549,0.8829816448013292,0.13431973862371838
JFM2026,TP,ECMWF,All India,2026-02-05,daily,1,Week 1,0.18810416941868655,0.7231102845146085,0.28622009531834713,0.7398679379246383,0.3427988722822958,0.09491293427321558,0.6977736765238373,0.13602252057723357
JFM2026,TP,ECMWF,All India,2026-02-12,daily,1,Week 1,0.08456386143773219,0.7524894368031949,0.09442637037266371,0.8876211979838743,0.10444655339401576,0.08526028976144787,0.36945245045348274,0.23077473070430446
JFM2026,TP,ECMWF,All India,2026-02-19,daily,1,Week 1,0.08188993996476837,0.7834797228347203,0.10660476020813514,0.8954791839813274,0.23183599114254894,0.08728762550185076,0.31278808986493817,0.2790631367695028
JFM2026,TP,ECMWF,All India,2026-02-26,daily,1,Week 1,0.3201929629573439,0.7882237021639402,0.28790609325913497,0.5937790730241858,-0.11214375261293474,0.15029920065822486,1.6619553814419705,0.0904351598944973
JFM2026,TP,ECMWF,All India,2026-03-05,daily,1,Week 1,0.2919270715595696,0.9092504101141715,0.4222697260428302,0.6789365522277704,0.30867155859058704,0.06641589090402839,1.6188665141381235,0.04102616881873542
