lead_day,valid_date,imd_mean,imd_p10,imd_p25,imd_p75,imd_p90,fuxi_mean,fuxi_p10,fuxi_p90,fuxi_member00,ecmwf_mean,ecmwf_p10,ecmwf_p90,ecmwf_control
1,2026-06-24,5.590523012479147,2.919109320640564,4.253770470619202,6.466856479644775,8.060377073287965,5.8603826,5.751347637176513,5.974575138092041,5.818697,6.676513162260477,5.7289815765495975,7.856281394549985,6.8930429975612135
2,2026-06-25,11.09801526069641,5.864457273483277,9.086414277553558,12.754769206047058,17.025302886962894,10.358173,10.119756984710694,10.6044677734375,9.8287735,12.506054786045379,10.874594647632556,14.334748563994806,12.859583110635285
3,2026-06-26,17.154239161809286,8.686501717567443,14.370961427688599,20.286585807800293,24.62036910057068,14.686271,14.294136238098144,15.110510635375977,13.5433655,18.503700735763207,15.904146654013964,21.327871844413686,19.02520339359691
4,2026-06-27,23.376333236694336,11.34507954120636,19.62237799167633,29.240358591079712,32.44299368858338,19.575575,18.975642585754393,20.178435707092284,18.329012,25.251374851407405,21.99694946475097,29.043831669870023,25.155869001455173
5,2026-06-28,30.253251894315085,16.202070307731628,25.015900492668152,36.23862385749817,41.34092469215394,25.26273,24.41205749511719,26.04051990509033,23.963238,33.60601222762184,29.61006793903301,38.2494142186643,32.48320434914923
6,2026-06-29,37.22985012531281,20.64558141231537,29.90240830183029,46.16814160346985,50.834149599075324,31.828829,30.694863510131835,32.89258728027344,30.054888,43.36296129436911,37.86546188088145,50.05761910153761,42.13733966393603
7,2026-06-30,44.12931021054586,24.7106192111969,34.19965958595276,54.103267788887024,61.721804809570315,38.62107,37.34119834899902,39.71228561401367,36.299732,53.998594934696776,46.51512562948071,63.34438489334782,52.40357774709969
8,2026-07-01,50.29834542274475,29.046177744865417,39.74995619058609,60.5149792432785,69.37650876045228,45.60331,44.10980567932129,46.88048973083496,43.294876,64.08652983670616,55.28397528478003,74.9283649914779,62.821096175386955
9,2026-07-02,57.00289075374603,32.372722434997556,45.59174054861069,67.85270023345947,78.73548607826233,53.095074,51.278263092041016,54.71759796142578,50.44986,74.14405749451812,63.96569508501265,86.95493343750472,73.89470580276952
10,2026-07-03,64.02917889753978,39.10715386867523,49.54076451063156,74.54308366775513,88.39163985252381,61.592743,59.34881591796875,63.50839118957519,58.21853,85.00189100669235,72.7224490742179,100.96903520118329,87.96602599676484
11,2026-07-04,71.25268069903056,44.682242083549504,55.00097703933716,84.46880578994751,98.93389468193054,70.04187,67.57014312744141,72.73522567749023,66.35289,96.59547491224906,81.58837659503581,113.86002038246924,100.91477111761792
12,2026-07-05,78.34824007352194,49.45619342327118,59.69607055187225,94.02551251649857,105.79162092208863,78.37527,75.42334213256837,81.51300506591797,74.67772,108.73656099153223,91.09439677119273,126.68968441762455,114.00533416696167
13,2026-07-06,85.53884298006693,52.539052152633666,64.5182067155838,100.92056304216385,113.339715051651,86.69573,83.36792297363282,90.27809829711914,83.32442,121.2908650912608,103.2535213278024,138.97482912072698,128.4020440454076
14,2026-07-07,92.65352096557618,59.33599269390106,71.0744925737381,107.37503206729889,120.1804901123047,95.780785,91.52265701293945,100.92599563598633,92.07761,133.4541299470645,110.34221476448845,152.98873574620532,142.4683896538964
15,2026-07-08,99.98606091737747,69.43763558864593,78.5084080696106,114.00879740715027,127.43052444458009,105.24961,100.05165328979493,112.28059005737305,101.8589,145.0818126559858,120.15105262609039,169.1913452471368,153.3281917329702
16,2026-07-09,107.68971327543258,74.52781529426575,85.87354111671448,123.57176578044891,137.27078037261964,115.20766,109.42877426147462,121.66283950805663,112.57129,155.62653497002458,128.31276251182166,179.15677764278652,166.23460575126597
17,2026-07-10,116.18835998773575,81.48036189079285,93.66009935736656,136.5190967321396,148.482265663147,124.42913,117.74440078735351,130.64513092041017,122.73729,165.2302671127514,137.04581464958804,191.75966036047484,180.13020897033093
18,2026-07-11,125.15776833295823,90.73585586547851,99.88702523708344,148.64036709070206,160.9819981575012,131.9778,123.31761856079102,138.5024673461914,132.0844,174.82822782535135,143.5658991679889,202.7800518082044,194.16636400175312
19,2026-07-12,133.7454825123151,97.50917464494705,109.94362711906433,159.6177608370781,172.78774604797363,138.36166,129.5567626953125,145.09097747802736,140.00584,183.6811985076651,151.6046798402197,213.46620127691725,206.32653219646872
20,2026-07-13,141.2350910305977,102.46773813962936,117.08076500892639,166.16463339328766,180.96602654457092,144.7505,136.0439224243164,152.32359924316407,146.20386,192.09279620517685,162.7972457036875,223.9253497994853,216.52337132774275
21,2026-07-14,148.50500016609828,108.04569617509843,123.75810468196869,172.6838196516037,185.74236698150636,151.5146,143.24165954589844,159.67389678955078,153.13033,200.1999288722323,167.04326364503837,232.19247332648223,224.42384106676838
22,2026-07-15,156.48240444262822,113.58443874120712,130.4144036769867,182.19801771640778,192.01795434951782,158.50009,150.2841064453125,166.57432708740234,160.99767,208.18412123322844,172.68172126283773,240.78707911243706,232.8025915082862
23,2026-07-16,165.1339615702629,120.55973536968231,137.8675615787506,191.02389752864838,203.81514339447023,165.17064,155.52291870117188,175.56475677490235,169.70457,216.164335069686,182.50939488705586,249.0243940997889,242.10969716898728
24,2026-07-17,173.42001603841783,129.9877126455307,143.95119714736938,199.00675582885742,216.14178326129914,171.52028,159.89977569580077,183.88353424072267,178.22287,223.9970967845881,189.3025670894903,259.2897514431608,248.29369760666137
25,2026-07-18,181.22583721081415,137.38452551364898,149.8480168581009,205.6131101846695,225.33447058200835,178.09471,166.65826873779298,190.0821075439453,186.48293,231.88320776427136,193.09489508621692,273.51399486711443,253.6275124087069
26,2026-07-19,189.3496291120847,143.4553595304489,158.1172155737877,213.3238832950592,231.72048046588898,184.9859,172.7431427001953,197.84664306640624,195.14372,239.53268769547213,196.70259432792707,282.0752131290341,262.0716650533313
27,2026-07-20,198.20069388945896,152.11215574741362,170.78472691774368,221.70182085037231,238.60523147583007,192.00311,176.29412078857422,205.47474365234376,205.04099,247.872515057528,201.54009319628113,291.4539423776164,271.92444785642664
28,2026-07-21,207.11574983199438,166.7139625787735,179.76195687055588,231.37584328651428,246.36657433509828,199.22693,183.39665832519532,215.39675903320312,215.88551,256.30320794811814,209.34534685030846,302.7564826919313,281.86880261023225
29,2026-07-22,215.64098700284958,177.2599004983902,188.5097605586052,236.996012032032,255.08773312568664,206.68312,190.0944046020508,222.52943267822266,225.27315,264.8448981515029,214.2686217046793,310.51443845876156,290.13032787002675
30,2026-07-23,223.72659757534663,188.71459798812867,197.430821955204,244.24846786260605,265.4756744861603,214.46812,198.30074310302734,229.57689819335937,232.04231,273.2452890572826,218.20971664604403,318.032607945979,296.9439994163985
31,2026-07-24,231.5635609904925,197.58013281822204,206.62978559732437,252.6204960346222,273.3085011482239,222.49469,207.6646484375,240.06311492919923,238.2724,281.7104532674971,224.12532613312504,327.7827008950014,304.9986781778107
32,2026-07-25,239.76439964373907,203.55137007236482,217.39184153079987,260.34105771780014,281.4822469711304,230.29507,214.54840240478515,251.50112609863282,245.17004,290.53751315400973,229.2676531057142,338.18582532434965,313.427443772314
33,2026-07-26,248.55887918074924,211.50216624736785,225.45854103565216,270.7231716513634,290.5640233039856,237.6983,221.07967224121094,262.2309265136719,251.34311,299.38413264973985,233.47181214983894,350.285125048889,321.3397343707199
34,2026-07-27,257.46678220033647,220.80683000087737,235.03918707370758,279.46990287303925,302.3570812225342,244.65648,225.86076965332032,268.12046813964844,254.7042,308.5585966529978,239.57875504515056,359.1436454225916,328.33032879293813
35,2026-07-28,266.3483928720156,230.31190507411958,245.8082103729248,286.28865694999695,311.98382134437566,251.29514,230.66868438720704,273.5428436279297,256.66394,318.2517734626756,247.46554275238177,368.155449761293,335.918616825789
36,2026-07-29,274.66966034173964,240.67249019145964,254.24573802947998,295.0893224477768,319.1763594150543,257.6582,233.50507659912108,280.8389526367188,258.63275,327.98493721955276,258.06738659172885,379.4562074613029,343.50807992061107
37,2026-07-30,282.5648817340533,251.30632696151733,260.31934785842896,301.9300474524498,326.3426133155823,263.63568,239.27406311035156,288.9787658691406,260.45303,337.7733709568463,269.1520870746238,387.0751901745463,351.0697351624082
38,2026-07-31,290.0805588364601,258.7685452699661,266.02487337589264,308.21780264377594,335.0052188396454,269.4235,244.6068557739258,295.37742309570314,262.70233,347.18406258898204,275.98348313467756,397.6912031589829,359.4761022634829
39,2026-08-01,297.81136053800583,266.07110917568207,273.56881403923035,317.72774094343185,344.25659818649297,275.1156,251.4469421386719,299.6143829345703,265.2524,356.49951155595886,283.80144318592386,407.8699471102114,368.2495114873615
40,2026-08-02,305.59028910398484,271.66226880550386,282.8549556732178,326.7258341908455,354.6798285007477,280.7659,258.52744445800784,305.0360534667969,267.7922,365.87148018886575,291.7492184329419,418.19815385384976,376.2579420792505
41,2026-08-03,313.55046733220416,279.0352103948593,291.4299221932888,338.12687784433365,363.9400235652924,286.53708,264.4796112060547,312.52447204589845,270.91898,374.94268765531194,299.01512944827226,428.3908102021323,383.0309047561001
42,2026-08-04,321.978945962588,284.1102752685547,298.70498180389404,347.34028655290604,373.31557190418243,292.58652,267.4621353149414,318.97661743164065,274.67392,383.60691457153155,308.1615783680748,437.48299501637536,389.97074920503786
